Original Name,Processed Name
|Green Tea Phytosome   (Camellia sinensis extract (Camellia sinensis) (leaf), Phosphatidylcholine Complex)  |,green tea phytosome
Spirulina   ,spirulina
Calories   ,calories
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Spirulina   ,spirulina
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
Phase 1: MPAAM(TM)  (Multi-Phase(TM) Amino Acid Matrix)   ,phase mpaam
Cellulose Gum   ,cellulose gum
Calories   ,calories
Calories from Fat   ,calories from fat
Phase 1: MPAAM(TM)  (Multi-Phase(TM) Amino Acid Matrix)   ,phase mpaam
Cellulose Gum   ,cellulose gum
Calories   ,calories
Calories from Fat   ,calories from fat
Phase 1: MPAAM(TM)  (Multi-Phase(TM) Amino Acid Matrix)   ,phase mpaam
Cellulose Gum   ,cellulose gum
Calories   ,calories
Calories from Fat   ,calories from fat
Phase 1: MPAAM(TM)  (Multi-Phase(TM) Amino Acid Matrix)   ,phase mpaam
Cellulose Gum   ,cellulose gum
Calories   ,calories
Calories from Fat   ,calories from fat
Phase 1: MPAAM(TM)  (Multi-Phase(TM) Amino Acid Matrix)   ,phase mpaam
Cellulose Gum   ,cellulose gum
Immune Energy Blend   ,immune energy
Proprietary Phytonutrient and Enzyme Blend  (of:)  ,proprietary phytonutrient enzyme
Digestive Enzymes   ,digestive enzymes
Sucrase   ,sucrase
Proprietary Herbal Standardized Blend  (of:)  ,proprietary herbal
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
|Proprietary Blend   (RNA/DNA Adrenal Tissue Factors, Saussurea (Root), Sete Sangrias (Herb), Blackberry (Leaves), Boldo Do Chile (Leaves), Cha De Bugre (Leaves), Pogostemon (Herb), Platycodon (Root), Pinellia (Rhizome), Gastrodia (Rhizome), Angelica (Root), Magnolia (Bark), Oregon Grape (Root), Crataegus (Fruit), Oryzae Sprout, Kiwi (Fruit)  (Powder), Pepsin, Golden Seal (Root), ABC Culture Mix, Atractylodes (Rhizome))  |,proprietary
|Proprietary Blend   (Ginseng Southwestern (Root), Lobelia (Herb), Cortex Eleutherococcus (Root), Lingustrium Rhizome (Rhizome), Platycodon (Root), Licorice (Root), Citrus Aurantium (Ripe), Citrun Aurantium (Unripe), Cyperus (Rhizome), Bamboo Resin, Saussurea (Root), Hops (Herb), Woodruff (Herb), RNA/DNA Brain Tissue Factors, Bupleurum (Root), Coptis Rhizome (Rhizome), Uncaria (Stem), Pinellia (Rhizome), Ophiopogon (Root))  |,proprietary
|Proprietary Blend   (Angelica Root (Root)  (Powder), Chaparral (Leaves), Ophiopogon (Root), Licorice (Root), Ginseng (Red American), Kamala, Polygala (Polygala) (Root), Ligustrum (Fruit), Achyranthes (Root), RNA/DNA Spleen Tissue Factors, Corneliasiatic Cherry, Astragalus (root), Ganoderma (Fungus), Peonia (Root), Atractylodes (Rhizome), Rehmannia (Root), Eucommia (Bark), Bromelain, Pepsin, Germanium Sesqui Oxide)  |,proprietary
|Proprietary Blend   (RNA/DNA Blood Substance, Magnolia (Bark), Dioscorea Hypoglauca, Saussurea (Root), Zanthoxyulum (Fruit Peel), Alpinia (Rhizome), Ginseng (Red American), Licorice (Root)  (Chinese), RNA/DNA Kidney Tissue Factors, Cardamon (Fruit), Lotus (Seed), Dong Quai (Herb), Pinellia (Rhizome), RNA/DNA Liver Tissue Factors, Dolichos Bean, Astragalus (root), RNA/DNA Spleen Tissue Factors)  |,proprietary
|Proprietary Blend   (Horse Tail, RNA/DNA Liver Tissue Factors, Scutellaria Baicalensis (Scutellaria Baicalensis), Forsythia (Fruit), Rue (Herb Root), Schizonepeta (Herb), RNA/DNA Spleen Tissue Factors, Chapeu De Couro (Leaves), Arctium (Fruit), Chysanthemum (Flower), Vitex (Fruit), Phellodendron (Bark), Lonicera (Flower), Valine, Carthamus (Flower), Cysteine)  |,proprietary
|Proprietary Blend   (Pedra Hume Caa (Leaves)  (Cut), Cyani (Flowers), Achyranthes (Root), Urea, Fuengreek (Seed), Anemarrhena (Rhizome), Paeonia Suffcuticosa (Mountain Root Bark) , Rehmannia (Root), Ophiopogon (Root), Ephemerantha Fimbriata (Dedrolbrium Leaf), Eucommia (Bark), Alisma Rhizome (Rhizome), Licorice (Root), RNA/DNA Pancreatin Tissue Factors, Catuaba (Root), Candida, Phellodendron (Bark), Allantoin)  |,proprietary
|Proprietary Blend   (Poria Spirit (Fungus), Polygala (Polygala) (Root), Albizia (Bark), Saussurea (Root), Zizyphus (Seed), Polygonum (Root), Dragon Bone, Haliotipis (Shell), Tayuya (Root)  (Cut), Ginger (Root)  (Chinese), Lemon Oil, Coptis Rhizome (Rhizome), Acorus (Rhizome), Chromium Chelate, Licorice (Root), Curcuma (Root), Cinnamon (bark))  |,proprietary
