Original Name,Processed Name
Typical Amino Acid Profile Per Serving  (Mg/6g Protein)  <p class='indent01b' data-ingid='3851'>Alanine;</p><p class='indent01b' data-ingid='3858'>Arginine;</p><p class='indent01b' data-ingid='3861'>Aspartic Acid;</p><p class='indent01b' data-ingid='3931'>Cystine;</p><p class='indent01b' data-ingid='3982'>Glutamic Acid;</p><p class='indent01b' data-ingid='3983'>Glutamine;</p><p class='indent01b' data-ingid='16089'>Glycine;</p><p class='indent01b' data-ingid='3998'>Histidine;</p><p class='indent01b' data-ingid='4005'>Isoleucine;</p><p class='indent01b' data-ingid='4027'>Leucine;</p><p class='indent01b' data-ingid='4036'>Lysine;</p><p class='indent01b' data-ingid='4056'>Methionine;</p><p class='indent01b' data-ingid='4094'>Phenylalanine;</p><p class='indent01b' data-ingid='4113'>Proline;</p><p class='indent01b' data-ingid='4150'>Serine;</p><p class='indent01b' data-ingid='4182'>Threonine;</p><p class='indent01b' data-ingid='4187'>Tryptophan;</p><p class='indent01b' data-ingid='4192'>Tyrosine;</p><p class='indent01b' data-ingid='4197'>Valine;</p>,typical amino acid profile per serving alanine arginine aspartic acid cystine glutamic acid glutamine glycine histidine isoleucine leucine lysine methionine phenylalanine proline serine threonine tryptophan tyrosine valine
Alanine   ,alanine
Arginine   ,arginine
Aspartic Acid   ,aspartic acid
Cystine   ,cystine
Glutamic Acid   ,glutamic acid
Glutamine   ,glutamine
Glycine   ,glycine
Histidine   ,histidine
Isoleucine   ,isoleucine
Leucine   ,leucine
Lysine   ,lysine
Methionine   ,methionine
Phenylalanine   ,phenylalanine
Proline   ,proline
Serine   ,serine
Threonine   ,threonine
Tyrosine   ,tyrosine
Valine   ,valine
|Active Ingredients:   <p class='indent01b' data-ingid='3940'>Dextro-Cyclodized(TM) Amino Acids (From beef extract, & Prota-Lyn(R) EHP);</p>|,active ingredients dextro-cyclodized amino acids
|Dextro-Cyclodized(TM) Amino Acids   (beef extract, Prota-Lyn(R) EHP)  |,dextro-cyclodized amino acids
Typical Amino Acid Profile Per Serving  (Mg/6g Protein)  ,typical amino acid profile per serving
Typical Amino Acid Profile Per Serving  (Mg/6g Protein)  <p class='indent01b' data-ingid='3851'>Alanine;</p><p class='indent01b' data-ingid='3858'>Arginine;</p><p class='indent01b' data-ingid='3861'>Aspartic Acid;</p><p class='indent01b' data-ingid='3931'>Cystine;</p><p class='indent01b' data-ingid='3982'>Glutamic Acid;</p><p class='indent01b' data-ingid='3983'>Glutamine;</p><p class='indent01b' data-ingid='16089'>Glycine;</p><p class='indent01b' data-ingid='3998'>Histidine;</p><p class='indent01b' data-ingid='4005'>Isoleucine;</p><p class='indent01b' data-ingid='4027'>Leucine;</p><p class='indent01b' data-ingid='4036'>Lysine;</p><p class='indent01b' data-ingid='4056'>Methionine;</p><p class='indent01b' data-ingid='4094'>Phenylalanine;</p><p class='indent01b' data-ingid='4113'>Proline;</p><p class='indent01b' data-ingid='4150'>Serine;</p><p class='indent01b' data-ingid='4182'>Threonine;</p><p class='indent01b' data-ingid='4187'>Tryptophan;</p><p class='indent01b' data-ingid='4192'>Tyrosine;</p><p class='indent01b' data-ingid='4197'>Valine;</p>,typical amino acid profile per serving alanine arginine aspartic acid cystine glutamic acid glutamine glycine histidine isoleucine leucine lysine methionine phenylalanine proline serine threonine tryptophan tyrosine valine
Alanine   ,alanine
Arginine   ,arginine
Aspartic Acid   ,aspartic acid
Cystine   ,cystine
Glutamic Acid   ,glutamic acid
Glutamine   ,glutamine
Glycine   ,glycine
Histidine   ,histidine
Isoleucine   ,isoleucine
Leucine   ,leucine
Lysine   ,lysine
Methionine   ,methionine
Phenylalanine   ,phenylalanine
Proline   ,proline
Serine   ,serine
Threonine   ,threonine
Tyrosine   ,tyrosine
Valine   ,valine
|Active Ingredients:   <p class='indent01b' data-ingid='3940'>Dextro-Cyclodized(TM) Amino Acids (From beef extract, & Prota-Lyn(R) EHP);</p>|,active ingredients dextro-cyclodized amino acids
|Dextro-Cyclodized(TM) Amino Acids   (beef extract, Prota-Lyn(R) EHP)  |,dextro-cyclodized amino acids
Taurine   ,taurine
Glutamine-hydrochloride   ,glutamine-hydrochloride
Aspartic Acid   ,aspartic acid
Boron Amino Acid Chelate   ,boron amino acid chelate
Arginine   (L-Arginine HCl)  ,arginine
L-Arginine   ,l-arginine
Acetyl-L-Tyrosine   ,acetyl-l-tyrosine
L-Carnitine   ,l-carnitine
5-HTP  (5-Hydroxytryptophan)   (Griffonia simplicifolia (Griffonia  simplicifolia))  ,5-htp
L-Citrulline Malate   ,l-citrulline malate
Beta-Alanine   ,beta-alanine
L-Arginine Malate   ,l-arginine malate
Taurine   ,taurine
L-Arginine AKG   ,l-arginine akg
L-Theanine   ,l-theanine
L-Cysteine   ,l-cysteine
L-Glutamine   ,l-glutamine
L-Tyrosine   ,l-tyrosine
N-Acetyl-L-Carnitine   ,n-acetyl-l-carnitine
Acetyl-L-Carnitine   ,acetyl-l-carnitine
L-Glutamine   ,l-glutamine
L-Theanine   ,l-theanine
Glycine   ,glycine
Taurine   ,taurine
Glutamic Acid   ,glutamic acid
L-Glutamine   ,l-glutamine
L-Phenylalanine   ,l-phenylalanine
L-Tyrosine   ,l-tyrosine
Colostrum extract   (Milk)  ,colostrum
L-Arginine   ,l-arginine
L-Lysine   ,l-lysine
N-Acetyl-L-Cysteine   ,n-acetyl-l-cysteine
Glycine   ,glycine
Taurine   ,taurine
L-Glutamine   ,l-glutamine
L-Alanine   ,l-alanine
L-Arginine   ,l-arginine
L-Cysteine   ,l-cysteine
L-Cystine   ,l-cystine
L-Glutamine   ,l-glutamine
Glycine   ,glycine
L-Histidine   ,l-histidine
L-Isoleucine   ,l-isoleucine
L-Leucine   ,l-leucine
L-Lysine   ,l-lysine
L-Methionine   ,l-methionine
